logFC	AveExpr	t	P.Value	adj.P.Val	B	log2.YPGlu30.Ref._YPGlu30.C.1	log2.YPGlu30.Ref._YPGlu30.C.2	log2.YPGlu30.Ref._YPGlu30.C.3	log2.YPGluBPS30.Ref._YPGlu.BPS30.C.1	log2.YPGluBPS30.Ref._YPGlu.BPS30.C.2	log2.YPGluBPS30.Ref._YPGlu.BPS30.C.3
CAGL0D01298g	1.9395	0.20475	16.4120491051138	1.31339165696987e-07	8.51709551728691e-06	8.29101813423261	-0.7635	-0.629	-0.9025	1.327	1.163	1.0335
CAGL0K04301g	2.75583333333333	-0.491583333333333	16.3080598722204	1.38241396630022e-07	8.82770106720388e-06	8.23715330523928	-1.693	-1.67	-2.2455	0.803	1.068	0.788
CAGL0A03102g	2.1285	-0.251916666666667	16.265089535533	1.41211117517649e-07	8.82770106720388e-06	8.2147895982339	-1.1945	-1.3225	-1.4315	0.996	0.864	0.577
CAGL0E01243g	1.732	-0.264333333333333	16.2523838167553	1.42102826450258e-07	8.82770106720388e-06	8.20816505594569	-1.0635	-1.108	-1.2195	0.631	0.7175	0.4565
CAGL0K09042g	-1.807	-0.302166666666667	-16.2393865949904	1.43021508603928e-07	8.82770106720388e-06	8.20138289014897	0.7395	0.564	0.5005	-1.144	-1.3475	-1.1255
CAGL0M05401g	3.1145	0.252416666666667	16.1000742030732	1.53296614239382e-07	9.34926850890897e-06	8.12832709534596	-1.3835	-1.402	-1.129	1.682	1.4855	2.2615
CAGL0L03846g	-2.60916666666667	-1.22191666666667	-16.0719624244017	1.55468558187326e-07	9.3701814540432e-06	8.11350476973637	0.16	0.3075	-0.2195	-2.633	-2.2865	-2.66
CAGL0K10736g	2.07416666666667	0.101916666666667	15.9955753438446	1.61545979844295e-07	9.62325645049212e-06	8.07309100789065	-0.937	-0.9845	-0.884	1.2795	1.2705	0.867
CAGL0I07887g	1.85083333333333	-0.137916666666667	15.9210215548879	1.67734565339283e-07	9.87705951992125e-06	8.03345191850039	-1.117	-1.089	-0.984	0.7155	0.993	0.654
CAGL0K02629g	1.77683333333333	-0.113916666666667	15.6472439590688	1.92841852057311e-07	1.12264637282909e-05	7.88620817147122	-0.973	-0.955	-1.079	0.949	0.767	0.6075
CAGL0C04917g	-2.50316666666667	-1.06691666666667	-15.6201452137463	1.95547202827765e-07	1.12560485402993e-05	7.87148820291093	0.368	0.353	-0.167	-2.239	-2.2335	-2.483
CAGL0M06457g	-1.93916666666667	-0.41575	-15.5819017593289	1.99437589383442e-07	1.12661475577756e-05	7.85066925818082	0.382	0.778	0.5015	-1.492	-1.3305	-1.3335
CAGL0E06072g	2.00883333333333	-0.15975	15.5643581698831	2.01251111168883e-07	1.12661475577756e-05	7.84110113489444	-1.2395	-1.2505	-1.0025	0.7635	1.0655	0.705
CAGL0J09350g	1.493	0.413166666666667	15.552943170138	2.02440996194936e-07	1.12661475577756e-05	7.83486947967826	-0.4415	-0.292	-0.2665	1.2055	1.119	1.1545
CAGL0K11297g	1.53916666666667	0.148916666666667	15.5331850829434	2.04519172920775e-07	1.12661475577756e-05	7.82407195938744	-0.5645	-0.5665	-0.731	0.835	0.9455	0.975
CAGL0G06248g	-2.73916666666667	-0.517416666666667	-15.4271684067273	2.16085207675011e-07	1.15435124526941e-05	7.76589112198386	1.0125	0.9355	0.6085	-1.5175	-2.1035	-2.04
CAGL0B00990g	3.69033333333333	-0.219	15.4264016763397	2.16171473511674e-07	1.15435124526941e-05	7.76546884195489	-2.441	-1.6205	-2.131	1.4835	1.348	2.047
CAGL0F05577g	-1.57033333333333	-0.2	-15.425134656049	2.16314111938051e-07	1.15435124526941e-05	7.76477097752671	0.7115	0.5835	0.4605	-1.031	-0.937	-0.9875
