logFC	AveExpr	t	P.Value	adj.P.Val	B	log2.YPGlu37.Ref._YPGlu37.C.1	log2.YPGlu37.Ref._YPGlu37.C.2	log2.YPGlu37.Ref._YPGlu37.C.3	log2.WT.Glu.Fe.37.Ref._WT.Glu.Fe.37.Fe.1	log2.WT.Glu.Fe.37.Ref._WT.Glu.Fe.37.Fe.2	log2.WT.Glu.Fe.37.Ref._WT.Glu.Fe.37.Fe.3
CAGL0H03179g	1.4795	0.56875	8.65417699995037	1.94184312862147e-06	0.000144174816636635	5.39619599298465	-0.2065	-0.176	-0.1305	1.1045	1.174	1.647
CAGL0B04433g	1.845	0.631666666666667	8.48875897451649	2.36619912101975e-06	0.000171116975978536	5.19523657186598	-0.5965	-0.457	0.181	1.25	1.784	1.6285
CAGL0K04851g	1.78416666666667	0.91675	8.48689214632492	2.3715216268741e-06	0.000171116975978536	5.19295055279068	0.036	0.0375	5e-04	1.446	1.642	2.3385
CAGL0F03553g	-1.73283333333333	-0.04875	-8.44918619329383	2.4818204025231e-06	0.000176588415585081	5.14669071215772	1.0165	0.9035	0.533	-0.5	-1.2145	-1.031
CAGL0D06424g	1.51133333333333	0.3055	8.40553312948612	2.61643051933917e-06	0.000183616076035268	5.09292655944311	-0.553	-0.694	-0.1035	0.964	1.227	0.9925
CAGL0B02717g	-1.68266666666667	-0.234666666666667	-8.38712264634336	2.67553072750521e-06	0.00018449808597954	5.07018457275509	0.7425	0.519	0.5585	-0.6425	-1.118	-1.4675
CAGL0G07821g	1.58633333333333	0.392	8.37656348665332	2.71007178204569e-06	0.00018449808597954	5.05712307916898	-0.3205	-0.567	-0.316	1.0475	0.919	1.589
CAGL0J10164g	-1.28116666666667	0.141416666666667	-8.36841925254824	2.73703972954226e-06	0.00018449808597954	5.04703980913981	0.6445	0.9325	0.769	-0.56	-0.3505	-0.587
CAGL0E03916g	1.36666666666667	-3.22533333333333	8.35017355642588	2.79850674376281e-06	0.000186191559068791	5.02442157121227	-3.8385	-3.7795	-4.108	-2.5905	-2.704	-2.3315
CAGL0F03927g	-1.27233333333333	-0.331166666666667	-8.3212729251481	2.89891775408585e-06	0.000188262088622877	4.98851420105203	0.2745	0.3985	0.242	-0.894	-0.842	-1.166
CAGL0K02409g	1.57416666666667	0.0295833333333334	8.32008575471809	2.90312414624385e-06	0.000188262088622877	4.98703708894018	-0.396	-0.86	-1.0165	0.622	0.796	1.032
CAGL0H09460g	1.3335	0.06325	8.3021013621556	2.96765343970405e-06	0.000190041107145048	4.96463986897839	-0.5585	-0.618	-0.634	0.5135	0.691	0.9855
CAGL0G07106g	-1.52033333333333	-0.213666666666667	-8.26457319336155	3.10731331439822e-06	0.000195486774827107	4.91777920031146	0.6315	0.485	0.523	-0.597	-1.2925	-1.032
CAGL0G05874g	-1.28716666666667	-0.24175	-8.25890583289033	3.12900947410166e-06	0.000195486774827107	4.91068785005772	0.537	0.347	0.3215	-0.7505	-1.0855	-0.82
CAGL0L03982g	1.246	0.279166666666667	8.23445289848796	3.22450117377913e-06	0.000198096630380722	4.88004669824278	-0.452	-0.344	-0.2355	0.787	0.854	1.0655
CAGL0J06374g	-1.58783333333333	-0.13325	-8.22852451286308	3.24811964707801e-06	0.000198096630380722	4.87260722925305	0.612	1.007	0.363	-0.7045	-1.167	-0.91
CAGL0H04125g	1.852	0.3975	8.19505856891979	3.38497199010302e-06	0.000204014253003503	4.83053186307533	-0.7995	-0.827	0.041	1.116	1.3545	1.5
CAGL0F07513g	1.2735	-0.250083333333333	8.17190332289596	3.4832711685177e-06	0.000207497653445537	4.80134066285845	-0.794	-1.0255	-0.841	0.2215	0.371	0.5675
CAGL0F03861g	-1.35716666666667	-0.557083333333333	-8.14838055436175	3.58627014051726e-06	0.000211177723331838	4.77161972867113	0.144	0.309	-0.0885	-1.2585	-1.412	-1.0365
CAGL0K04279g	-1.94766666666667	0.0235	-8.13362880151952	3.65252533136207e-06	0.000212635082642817	4.75294671312169	0.764	1.5195	0.7085	-0.9755	-0.5765	-1.299
CAGL0G03575g	-1.38733333333333	-0.395	-8.11409798271885	3.74227010931953e-06	0.000214015144377093	4.72818359621515	0.3525	0.272	0.2715	-0.781	-1.367	-1.118
CAGL0I02134g	2.09383333333333	-2.04325	8.0972993161879	3.82135152970183e-06	0.000214015144377093	4.70684742426212	-2.883	-2.6605	-3.727	-1.078	-1.2695	-0.6415
CAGL0A04653g	1.68683333333333	0.602083333333333	8.09626198202901	3.82629323342655e-06	0.000214015144377093	4.70552876684056	-0.132	-0.494	-0.098	1.2585	1.166	1.912
CAGL0L10780g	-1.55583333333333	-0.753416666666667	-8.08757553424879	3.86794389863026e-06	0.000214015144377093	4.69448141516922	0.0395	0.259	-0.225	-1.861	-1.2365	-1.4965
CAGL0K09724g	-1.23533333333333	-0.3055	-8.08264168232685	3.89181733338117e-06	0.000214015144377093	4.68820248075087	0.263	0.262	0.4115	-0.7545	-0.917	-1.098
CAGL0I10670g	-1.291	-0.5605	-8.07545317296837	3.92688338306592e-06	0.000214015144377093	4.67904889255601	0.0045	0.064	0.1865	-0.975	-1.234	-1.409
CAGL0L04070g	2.29116666666667	0.745083333333333	8.0618711662766	3.99406477555761e-06	0.000215385198370333	4.66173680231357	-0.6285	-0.4225	-0.1505	1.395	1.59	2.687
