log2.YPGlu30.Ref._YPGlu30.C.1	log2.YPGlu30.Ref._YPGlu30.C.2	log2.YPGlu30.Ref._YPGlu30.C.3	log2.YPGluBPS30.Ref._YPGlu.BPS30.C.1	log2.YPGluBPS30.Ref._YPGlu.BPS30.C.2	log2.YPGluBPS30.Ref._YPGlu.BPS30.C.3	log2.YPGlu37.Ref._YPGlu37.C.1	log2.YPGlu37.Ref._YPGlu37.C.2	log2.YPGlu37.Ref._YPGlu37.C.3	log2.WT.Glu.BPS.37.Ref._WT.Glu.BPS.37.1	log2.WT.Glu.BPS.37.Ref._WT.Glu.BPS.37.2	log2.WT.Glu.Fe.30.Ref._WT.Glu.Fe.30.1	log2.WT.Glu.Fe.30.Ref._WT.Glu.Fe.30.2	log2.WT.Glu.Fe.30.Ref._WT.Glu.Fe.30.3	log2.WT.Glu.Fe.37.Ref._WT.Glu.Fe.37.Fe.1	log2.WT.Glu.Fe.37.Ref._WT.Glu.Fe.37.Fe.2	log2.WT.Glu.Fe.37.Ref._WT.Glu.Fe.37.Fe.3
CAGL0H01331g	0.191	0.1525	0.372	-0.212	-0.2225	-0.301	-0.0495	0.1655	-0.205	-0.4405	-0.4615	0.0615	0.1155	0.2485	-0.5725	-0.5495	-0.646
CAGL0H01353g	-0.1965	-0.2115	-0.056	-0.2025	-0.267	-0.2955	-0.583	-0.525	-0.4435	-0.4265	-0.5445	-0.276	-0.3385	-0.2165	-0.12	0.203	0.1635
CAGL0H01375g	0.1875	-0.0035	0.481	-0.369	-0.0645	-0.674	0.4395	0.647	0.4135	-0.3375	-0.5595	0.0295	-0.003	-0.017	0.279	0.4585	0.8135
CAGL0H01397g	-0.4045	0.759	-0.4065	-0.3795	-0.545	-0.5435	-0.7465	-0.256	-0.586	-0.7655	-0.4805	0.022	-0.051	0.8215	-0.2085	-0.036	-0.166
CAGL0H01419g	0.6085	0.5785	0.341	-1.082	-0.931	-0.7285	0.181	0.2485	0.2645	-0.4385	-0.227	0.7155	0.8275	0.783	0.0715	-0.185	-0.0625
CAGL0H01441g	0.4885	0.6555	0.3245	-0.608	-0.3795	-0.411	0.374	0.395	0.5345	-0.1855	-0.2675	0.622	0.756	0.516	0.3685	0.242	0.049
CAGL0H01463g	-0.143	-0.0925	0.0525	-0.042	-0.1185	-0.0285	-0.005	-0.1915	0.059	-0.142	0.0785	NA	0.4275	0.315	-0.0585	-0.467	-0.612
CAGL0H01485g	0.1625	-0.1125	0.096	-0.2705	-0.406	-0.295	-0.1215	-0.115	0.119	-0.125	-0.3275	-0.0245	-0.146	1.012	-0.0895	-0.04	0.06
CAGL0H01507g	0.0915	0.0715	-0.023	-0.1285	-0.106	-0.3035	-0.0105	-0.0595	0.1055	-0.454	-0.3245	0.142	0.2095	0.127	0.406	0.281	0.641
CAGL0H01529g	-0.491	-0.485	-0.281	0.535	0.3385	0.3305	-0.3205	-0.1615	-0.642	0.2035	0.347	-0.492	-0.915	-0.639	-0.1735	-0.1225	0.174
CAGL0H01551g	0.562	0.459	0.47	-0.6975	-0.64	-0.901	0.231	0.4615	0.174	-0.296	-0.1595	0.4835	0.427	0.442	-0.068	-0.5175	-0.335
CAGL0H01573g	-0.0835	-0.17	-0.217	-0.2905	-0.16	-0.19	-0.1305	-0.17	-0.202	0.117	0.154	-0.271	-0.043	-0.299	0.829	0.727	1.0455
CAGL0H01595g	0.4455	0.4255	0.3565	-0.199	-0.153	-0.3085	0.223	0.081	-0.0185	0.4265	0.418	0.037	0.1295	0.1475	-0.3225	-0.0185	-0.179
CAGL0H01611g	-0.5815	-0.534	-0.2315	0.07	0.04	0.138	0.025	0.2745	-0.242	0.0745	1.2925	-0.268	-0.359	-0.3075	-0.325	-0.7585	-0.145
CAGL0H01617g	0.055	-0.154	-0.0835	0.0335	0.007	-0.1335	0.2735	-0.1715	0.156	0.2795	0.239	0.282	0.1355	0.2245	0.6575	0.562	1.1425
CAGL0H01639g	0.1785	0.238	0.109	-0.0165	0.247	0.169	0.151	0.366	0.4755	0.2925	-0.138	0.02	0.131	0.102	0.4095	1.8865	0.618
CAGL0H01661g	-0.3725	-0.48	-0.2325	0.535	0.6305	1.289	-0.321	-0.6485	0.491	-0.7155	-0.429	-0.205	0.032	0.0655	0.271	-0.253	-0.1535
CAGL0H01683g	0.047	-0.198	-0.211	-0.281	-0.169	-0.377	-0.249	-0.4545	-0.2745	0.295	0.156	0.028	0.28	-0.045	0.018	-0.08	-0.2415
CAGL0H01705g	0.4475	0.452	0.6725	0.5155	0.134	0.7065	0.2435	0.468	0.746	-0.253	-0.218	0.6025	0.554	NA	-0.2895	-0.322	-0.266
CAGL0H01727g	0.133	0.2835	0.091	-0.1055	-0.123	-0.0365	0.011	0.3645	-0.021	-0.5255	-0.5065	-0.3055	-0.2955	-0.194	0.1085	0.5955	0.3535
CAGL0H01749g	0.131	-0.226	0.0155	-0.0525	0.1335	0.184	0.12	0.037	-0.109	0.85	0.4915	-0.141	-0.064	-0.2225	-0.3865	-0.374	-0.356
CAGL0H01771g	0.4655	0.1705	0.163	-0.0195	0.306	0.058	0.3855	0.351	-0.037	1.0675	0.6815	0.02	0.1335	-0.0545	-0.125	0.2775	0.1965
CAGL0H01793g	0.4265	0.288	0.592	0.5215	0.3905	0.556	0.3425	0.3385	0.229	0.67	0.833	-0.124	-0.046	0.1	0.38	0.433	0.365
CAGL0H01815g	0.266	0.0505	0.0745	0.0865	-0.0675	0.1225	0.0465	-0.368	-0.033	-0.13	-0.3875	0.097	-0.0285	0.001	0	0.082	-0.359
CAGL0H01837g	-0.4915	-0.387	-0.432	0.2375	0.3235	0.121	-0.3525	0.252	0.3805	0.2925	0.247	0.1335	NA	-0.065	0.192	0.726	0.476
CAGL0H01859g	-0.0185	-0.171	0.241	0.206	0.032	0.157	-0.001	-0.423	-0.0935	0.1895	0.246	-0.1605	-0.187	-0.0305	-0.4165	-0.787	-0.48
CAGL0H01881g	0.384	0.2395	0.567	0.29	0.3585	0.527	0.1045	-0.1025	0.0255	0.067	-0.282	0.135	0.072	0.214	-0.365	0.2935	0.841
CAGL0H01947g	0.3035	0.0735	0.239	-0.027	-0.2865	0.1175	-0.215	-0.2945	-0.7345	0.836	0.588	-0.534	-0.481	-0.29	-0.9915	-1.0135	-0.795
CAGL0H02035g	0.525	0.201	0.66	1.0375	0.3495	1.1885	0.5435	0.304	0.947	0.2165	0.8755	1.2995	1.0815	1.128	1.2105	0.128	0.349
CAGL0H02057g	0.4295	0.1675	0.093	-0.91	-0.975	-0.4465	0.384	-0.289	0.604	-0.287	-0.679	0.176	0.273	0.291	-0.2565	-0.298	-0.405
CAGL0H02079g	0.339	0.137	0.0015	-0.4295	-0.3745	-0.3575	-0.3145	-0.5955	-0.653	0.1155	0.1125	0.4345	0.638	0.2815	-0.6555	-0.813	-0.9395
CAGL0H02101g	-3.3	-3.5005	-3.096	2.1465	2.263	1.166	-0.8565	-1.132	-1.3015	1.058	1.6075	NA	-2.646	-2.453	-0.227	-0.052	1.886
CAGL0H02123g	0.666	0.2335	0.131	-0.398	-0.124	-0.472	0.519	0.229	0.117	-0.3255	-0.7025	NA	0.0585	-0.0405	0.8775	1.291	1.95
CAGL0H02145g	-0.149	-0.0065	0.0215	0.265	0.843	0.191	-0.3065	-0.0505	0.5555	0.106	-0.00549999999999999	-0.046	-0.1865	-0.1505	-0.1585	-0.142	0.015
CAGL0H02167g	0.217	0.081	-0.043	0.0535	-0.093	-0.164	-0.0095	0.0875	-0.2095	-0.0505	-0.093	0.06	-0.0775	-0.088	-0.0035	0.4	0.22
CAGL0H02189g	1.003	0.786	0.6885	-0.753	-1.057	-0.584	0.458	0.1385	0.882	-0.412	-0.195	1.402	1.5105	1.341	-0.0935	-0.772	-0.724
CAGL0H02211g	0.4095	0.222	0.275	-0.857	-0.9	-1.0225	0.474	0.432	0.1255	-0.4485	-0.2815	0.2315	0.3365	0.275	0.087	0.218	0.151
CAGL0H02233g	0.112	-0.283	0.0765	-0.389	-0.418	-0.4425	-0.2075	-0.4435	-0.732	-0.0275	-0.188	-0.456	-0.43	-0.563	0.0125	0.163	0.907
CAGL0H02255g	0.056	-0.0085	-0.035	-0.26	-0.3145	-0.2525	0.026	-0.148	0.587	-0.271	-0.393	-0.04	0.0915	0.156	0.633	0.3815	0.8805
CAGL0H02277g	-0.1125	-0.3495	-0.066	-0.1435	0.0775	-0.3	-0.0445	0.118	-0.1115	0.268	0.1535	-0.004	0.0055	0.053	-0.083	-0.077	-0.072
CAGL0H02299g	-0.2185	-0.2295	-0.099	-0.298	-0.3735	-0.186	-0.386	-0.0135	-0.6845	0.3365	0.2985	-0.2595	-0.2195	-0.2305	-0.238	-0.118	-0.103
CAGL0H02321g	-0.0685	-0.386	0.316	0.5085	0.36	0.536	0.13	-0.0305	0.13	0.3865	0.4315	-0.1395	-0.199	-0.294	0.431	0.3425	0.8635
CAGL0H02343g	-0.023	-0.3315	0.0045	0.7415	0.607	0.472	0.196	-0.101	-0.268	0.2855	0.379	-0.464	-0.528	-0.468	-0.213	-0.036	-0.002
CAGL0H02365g	-0.065	-0.192	0.138	-0.513	-0.6555	-0.909	-0.0135	-0.114	-0.1425	-1.368	-1.138	NA	-0.046	0.053	-0.122	-0.0645	0.382
CAGL0H02387g	-2.1135	-2.328	-2.038	1.1165	1.628	0.312	-0.8925	-1.02	-1.0555	0.2515	0.1595	-1.7015	-1.7215	NA	-0.8865	-0.9205	-1.048
CAGL0H02409g	0.682	0.4305	0.6325	-0.632	-1.0135	-0.207	0.68	0.3375	0.392	-0.0315	-0.124	0.381	0.5005	0.5045	-0.232	-0.2395	-0.157
CAGL0H02431g	-0.624	-0.726	-0.9375	-0.423	-0.794	-0.5415	-0.604	-0.7295	-0.437	-0.6245	-0.363	NA	-0.3775	-0.4125	-0.43	-0.428	-0.177
CAGL0H02453g	-0.576	-0.4525	-0.6925	-0.8495	-0.309	-0.599	0.038	0.3015	0.119	-0.012	-0.2285	-0.835	-0.6215	-0.844	0.22	0.6465	0.6615
CAGL0H02475g	-0.004	0.0905	0.0195	-0.241	-0.1225	-0.3455	-0.101	0.004	-0.2785	-0.3145	-0.0905	0.309	0.2595	0.195	0.124	0.04	-0.237
CAGL0H02491g	-0.659	-0.84	-0.85	-2.418	-2.1275	-3.4085	-0.5725	-1.1765	-1.165	-3.5195	-3.1175	-0.7265	-0.5985	-0.719	-0.0835	0.014	0.0065
CAGL0H02497g	-0.278	-0.194	-0.2765	-0.279	-0.2415	-0.3895	0.0875	0.3315	0.212	0.331	0.3145	-0.615	-0.588	-0.5545	-0.288	-0.031	0.577
CAGL0H02519g	-1.1015	-0.94	-0.405	0.484	0.688	0.1195	-0.4455	-0.3295	-0.3705	0.5455	0.719	-0.295	-0.3405	-0.249	-0.1485	-0.335	0.152
CAGL0H02541g	-0.4815	-0.362	-0.2695	0.808	0.8845	0.9235	-0.526	-0.3785	-0.647	0.1845	0.0815	-0.725	-0.698	-0.4145	-1.3345	-1.472	-0.9885
CAGL0H02563g	-0.768	-0.9435	-0.09	0.4075	0.88	-0.134	0.142	-0.2365	-0.3905	-0.027	0.3915	-0.92	-1.2505	-1.008	-0.085	1.664	2.4775
CAGL0H02585g	-2.1785	-2.1705	-2.0695	1.533	1.4795	1.303	-0.9885	-0.734	-0.459	0.837	0.686	-1.5425	-1.805	-1.628	-0.3555	0.158	-0.0585
CAGL0H02607g	0.518	0.316	0.167	-0.942	-0.9655	-0.9255	0.0905	-0.275	0.6625	-0.946	-1.1245	0.4685	0.5515	0.366	-0.0225	-0.22	-0.322
CAGL0H02651g	-0.079	0.0205	-0.196	-0.2575	-0.357	-0.1255	0.0565	-0.127	0.213	-0.3095	-0.0115	NA	0.769	0.729	0.806	0.598	1.061
CAGL0H02673g	0.3495	0.29	0.2685	-0.135	-0.2365	0.023	0.1325	-0.181	0.22	-0.3735	-0.1405	0.709	0.899	0.657	0.188	-0.118	-0.104
CAGL0H02695g	-1.201	-1.167	-1.0815	0.6145	0.7045	0.0985	0.195	0.31	-0.083	-0.3115	-0.12	-1.402	-1.388	-1.3785	-0.0125	0.199	-0.0365
CAGL0H02717g	-0.835	-0.915	-0.955	-0.035	-0.025	-0.138	-0.577	-0.6845	-0.731	0.5165	0.496	-0.0455	-0.4625	-0.167	0.367	0.1015	0.404
CAGL0H02739g	0.0475	-0.0785	-0.1385	-0.3095	-0.097	-0.3485	-0.482	-0.465	-0.2545	-0.24	-0.369	0.016	-0.0265	-0.118	0.2155	0.166	0.5485
CAGL0H02783g	0.105	0.0915	-0.012	-0.1745	-0.042	0.042	0.305	0.4915	-0.055	-0.0695	-0.0945	0.0325	0.111	0.011	-0.443	-0.121	-0.4195
CAGL0H02805g	-0.107	-0.2	-0.028	-0.2295	-0.4095	0.112	0.1225	-0.1955	-0.0885	-0.075	-0.049	-0.287	0.061	0.0645	0.3695	0.0425	-0.2635
CAGL0H02827g	0.1385	0.1035	0.113	0.2245	0.215	0.2015	0.135	-0.088	-0.1665	0.288	0.518	-0.09	-0.087	-0.096	-0.1215	-0.018	-0.149
CAGL0H02849g	0.333	0.3355	0.437	-0.412	-0.2915	-0.2945	0.086	0.795	0.0605	-0.2675	0.398	-0.1665	-0.032	0.11	-0.35	-0.017	-0.3245
CAGL0H02871g	-0.078	-0.1455	-0.195	-0.972	-0.966	-1.0125	-0.18	-0.053	-0.201	-0.9435	-0.7415	-0.024	0.041	0.0485	0.431	0.6995	0.403
CAGL0H02893g	-1.306	-1.0365	-1.189	0.725	1.068	0.4755	-0.4865	-0.181	-0.1945	0.2685	0.4225	-0.756	-0.9365	-0.8045	-0.0205	0.2165	0.055
CAGL0H02937g	0.452	0.3505	-0.0045	-0.676	-0.6155	-0.425	-0.005	-0.016	0.242	-0.558	-0.54	0.5455	0.625	0.568	-0.198	-0.305	0.241
CAGL0H02959g	-0.532	-0.3465	-0.72	0.596	0.5975	-0.104	-0.0585	0.455	-0.4275	0.5935	0.9615	-1.84	-2.0545	-1.9915	-0.7675	-0.892	-0.562
CAGL0H03003g	0	-0.147	-0.373	-0.302	0.2365	-0.451	0.0275	-0.08	-0.3345	0.208	-0.1415	-0.411	-0.3555	-0.577	0.6025	0.748	0.7555
CAGL0H03025g	-0.2655	-0.316	-0.3325	-0.3545	-0.17	-0.304	-0.258	-0.4195	0.082	-0.404	-0.3675	-0.114	0.0505	0.017	0.276	-0.1485	-0.24
CAGL0H03047g	-0.2015	-0.0935	-0.094	0.3	0.237	0.488	0.045	-0.157	0.054	-0.1205	0.3365	-0.171	-0.044	-0.083	0.72	0.406	0.5655
CAGL0H03069g	0.062	0.247	-0.136	-0.336	-0.1325	-0.2735	-0.0255	0.2275	0.0705	-0.299	-0.5165	0.1315	0.0465	-0.058	-0.21	-0.3525	-0.26
CAGL0H03091g	-0.2285	-0.115	-0.257	0.384	0.609	0.302	-0.25	-0.3475	-0.319	0.8345	0.6985	-0.1735	-0.2055	-0.1195	-0.1125	-0.089	-0.288
CAGL0H03113g	-0.582	-0.752	-0.6405	0.3205	0.513	0.032	-0.3005	-0.64	-0.239	0.6545	0.475	0.169	-0.016	-0.101	0.4115	0.247	0.612
CAGL0H03135g	0.003	0.0865	0.122	0.0505	-0.019	0.148	-0.0185	0.697	-0.099	0.175	0.421	-0.09	-0.071	-0.0295	-0.1315	-0.0575	-0.1595
CAGL0H03157g	0.2045	0.0255	0.4235	0.932	0.886	0.8395	-0.0025	-0.054	-0.2815	0.89	0.9055	0.1555	0.1725	0.195	-0.49	-0.867	-0.518
CAGL0H03179g	-0.0125	0.1165	0.0035	0.1015	0.228	0.1725	-0.2065	-0.176	-0.1305	0.0565	0.3655	0.465	0.4775	0.2455	1.1045	1.174	1.647
CAGL0H03201g	-0.3335	-0.316	-0.4125	0.094	0.1805	-0.015	-0.335	-0.485	-0.7355	0.248	0.0935	-0.394	-0.3425	-0.436	-0.4425	-0.2515	0.1695
CAGL0H03223g	-0.224	0.167	-0.28	0.0835	0.471	0.3355	-0.242	-0.0815	0.2475	0.0105	-0.0535	-0.11	-0.1675	-0.194	0.2185	0.401	0.5705
CAGL0H03245g	-0.2045	0.268	-0.0675	0.111	0.033	0.1395	-0.277	0.2905	0.2065	-0.1485	-0.101	NA	-0.094	0.1635	-0.3405	-0.137	-0.27
CAGL0H03267g	-0.131	0.0065	-0.098	-0.0205	0.019	0.081	-0.0405	0.268	-0.286	-0.044	-0.0275	-0.073	-0.2995	-0.000499999999999999	-0.3495	-0.119	-0.4235
CAGL0H03289g	-0.7205	-0.652	-0.344	0.9715	0.941	0.6945	-0.0125	-0.0625	-0.1535	0.5365	0.871	0.1285	0.1015	0.055	0.7145	0.147	0.121
CAGL0H03311g	0.0855	0.0405	0.0105	0.052	0.1755	0.1065	0.1245	0.115	-0.076	-0.2395	-0.1815	-0.089	-0.1135	0	0.28	-0.254	-0.194
CAGL0H03333g	-0.2275	-0.126	0.0085	0.416	0.21	0.2015	0.008	0.065	-0.392	0.1025	0.411	0.083	0.2445	0.294	0.4905	0.0585	0.3855
CAGL0H03355g	-0.2175	-0.062	0.014	-0.079	-0.246	-0.3	-0.261	0.1295	0.079	0.2275	0.085	0.114	0.167	-0.146	-0.0025	0.33	0.628
CAGL0H03377g	0.2275	0.1785	-0.1915	-0.535	-0.64	0.081	-0.021	0.029	0.1325	-0.2785	-0.625	0.226	0.2215	0.1845	-0.326	-0.058	-0.728
CAGL0H03399g	0.0955	0.2455	-0.0955	-0.272	-0.1	-0.1905	-0.228	0.0345	-0.577	-0.2255	-0.4925	-0.3865	-0.3035	-0.288	-0.5975	-0.395	-0.118
CAGL0H03421g	0.03	-0.051	-0.15	0.2295	0.354	0.0505	-0.1965	-0.049	-0.2105	0.1955	0.1525	-0.151	-0.28	-0.336	0.177	0.0895	0.254
CAGL0H03443g	-0.252	-0.2885	-0.006	0.0065	-0.048	0.2425	-0.005	-0.0405	-0.0765	0.9515	0.687	-0.355	-0.497	-0.3935	-0.565	-0.3305	-0.527
CAGL0H03465g	0.0145	0.001	0.1895	0.516	0.3985	0.6985	-0.201	0.1005	-0.084	0.5655	0.585	-0.127	-0.2655	-0.074	-0.568	-0.506	-0.6235
CAGL0H03487g	-1.028	-0.926	-1.348	0.0975	0.6015	0.29	-1.3705	-1.04	-1.359	1.1205	0.898	-2.4465	-2.453	-2.6565	-2.067	-1.803	-1.8385
CAGL0H03509g	0.131	0.3675	0.0585	-0.3305	-0.448	-0.1865	-0.032	0.368	0.1785	-0.649	-0.521	-0.081	-0.0515	-0.015	-0.433	-0.475	-0.031
CAGL0H03531g	0.087	0.098	-0.1395	-0.6085	-0.6705	-0.5935	-0.6655	-0.7955	-0.6085	-0.8615	-0.7645	0.327	0.301	0.4055	0.3335	0.395	0.1685
CAGL0H03553g	0.264	0.1645	0.3245	0.1115	-0.1505	-0.054	0.3455	0.2245	0.167	0.1185	0.0295	0.197	0.0275	0.38	-0.3565	-0.453	-0.5545
CAGL0H03575g	0.0855	-0.057	0.0645	0.021	0.0415	0.161	-0.0185	0.411	0.08	-0.062	-0.047	NA	0.0485	0.08	-0.043	-0.0785	0.048
CAGL0H03597g	0.534	0.351	0.586	0.1885	-0.0335	0.188	0.514	0.158	0.313	0.0105	0.1015	0.5385	0.5955	0.55	0.4725	0.2355	0.2425
CAGL0H03619g	-0.0505	-0.237	0.018	0.128	0.6385	-0.708	-0.4315	-0.6925	-0.549	-0.037	0.191	0.0655	0.081	0.003	0.37	0.074	0.129
CAGL0H03641g	0.234	0.3085	0.4775	-1.0085	-1.069	-0.9755	0.5455	0.5055	0.2735	-0.652	-0.4875	0.366	0.464	0.3515	0.361	0.545	0.204
CAGL0H03663g	-0.675	-0.9515	-0.3925	0.39	0.4545	-0.069	-0.496	-0.721	-0.709	0.1175	0.3775	0.1715	-0.094	0.1235	0.195	-0.114	0.0075
CAGL0H03685g	0.5285	0.505	0.3455	-0.962	-1.0235	-0.3235	0.4585	0.22	0.8875	-0.7135	-1.165	1.1195	0.989	0.916	0.121	-0.5445	-0.606
CAGL0H03707g	0.4755	0.398	0.759	1.3765	1.1465	1.9015	0.083	0.1565	0.2705	-0.0175	-0.4455	0.619	0.5595	0.576	-0.47	-0.1695	-0.072
CAGL0H03729g	-0.1115	-0.1185	0.1075	-0.058	-0.149	-0.1775	-0.097	-0.0595	0.03	-0.0555	-0.1045	-0.1165	-0.0755	0.1545	-0.459	-0.7315	0.059
CAGL0H03751g	-0.047	-0.336	0.006	-0.803	-0.866	-1.0295	0.319	0.266	-0.1315	-0.0825	-0.2935	-0.91	-0.8695	-0.9125	-0.538	-0.186	0.094
CAGL0H03773g	0.4255	0.347	-0.0695	-0.9885	-1.1415	-0.6665	0.0025	0.035	-0.032	-0.3255	-0.4325	NA	0.285	0.2475	-0.4885	-0.2895	-0.093
CAGL0H03795g	-1.3205	-1.3575	-1.0915	-0.483	-0.3295	-0.804	-1.172	-1.1745	-1.65	1.984	2.114	-1.523	-1.665	-1.4495	0.0105	-0.588	-0.747
CAGL0H03817g	0.122	-0.0735	-0.048	-0.1205	0.0975	0.085	-0.208	-0.436	-0.0515	0.531	0.158	0.114	-0.0195	-0.0165	0.4675	0.3825	0.377
CAGL0H03839g	0.707	0.1325	0.728	0.4115	0.431	0.7025	0.3755	-0.193	0.2215	0.99	0.5005	0.075	0.037	0.07	-0.0225	0.355	0.812
CAGL0H03861g	0.0155	-0.153	-0.1575	0.012	0.1625	0.014	-0.0975	-0.2265	0.008	0.157	-0.1425	NA	-0.3715	-0.21	-0.071	0.181	0.0285
CAGL0H03883g	0.248	0.08	0.036	-0.37	-0.253	-0.419	-0.3815	-0.632	-0.335	-0.4465	-0.562	0.256	0.1965	0.1135	0.606	0.75	0.582
CAGL0H03905g	0.049	-0.105	0.0375	-1.2215	-0.8925	-1.192	0.1115	-0.074	-0.128	-1.0485	-1.206	NA	-0.342	-0.093	0.1465	0.852	0.9165
CAGL0H03927g	-0.118	0.016	-0.268	0.189	0.34	0.175	-0.169	-0.001	-0.08	0.14	0.009	-0.18	-0.309	NA	-0.3095	0.17	-0.143
CAGL0H03949g	0.4695	0.335	0.163	-0.878	-1.047	-1.1425	0.182	0.028	0.227	-1.1175	-0.8695	0.44	0.657	0.358	0.561	0.201	-0.0615
CAGL0H03971g	-1.3665	-1.325	-1.213	0.2295	0.692	-0.4655	-0.739	-0.5505	-1.1525	-0.2605	0.031	-0.633	-0.769	-0.7065	-0.5785	-0.8155	-0.397
CAGL0H03993g	-0.4885	-0.647	-0.8295	-1.9605	-1.6345	-2.329	-1.025	-1.2925	-0.657	-2.366	-2.593	-0.599	-0.5775	-0.796	-0.292	0.308	0.005
CAGL0H04015g	5e-04	0.1665	0.254	0.161	0.1505	0.004	0.3345	0.4055	0.078	0.049	-0.1435	-0.017	0.076	0.1585	0.2985	0.0355	0.0345
CAGL0H04037g	-2.2295	-2.1975	-2.125	0.607	0.998	0.301	0.1705	0.487	0.0585	0.881	0.727	-1.839	-2.016	-1.852	0.643	0.829	0.9
CAGL0H04059g	0.167	0.176	0.141	0.1145	-0.0235	-0.027	0.1945	0.7215	0.116	0.496	0.318	-0.008	0.116	0.215	0.0805	0.151	0.1265
CAGL0H04081g	0.027	0.127	0.4275	-0.111	0.255	0.067	0.694	0.5785	0.2965	0.153	0.049	-0.4315	-0.5455	-0.457	-0.883	-1.662	-1.601
CAGL0H04103g	0.243	0.0535	0.451	-0.16	-0.013	-0.0285	0.366	0.238	0.0355	0.376	0.176	-0.15	-0.027	-0.1215	0.297	0.5355	0.161
CAGL0H04125g	-0.843	-0.5015	-1.222	0.438	1.003	0.184	-0.7995	-0.827	0.041	-0.2375	-0.496	-0.2705	-0.2665	-0.28	1.116	1.3545	1.5
CAGL0H04147g	-0.3035	0.083	0.106	-0.1175	-0.131	-0.018	0.03	-0.057	-0.126	-0.134	-0.223	-0.1885	-0.236	-0.066	-0.153	-0.109	-0.2295
CAGL0H04169g	0.3255	0.1785	-0.085	-0.5445	-0.435	-0.249	0.026	-0.203	0.6815	-0.1265	-0.534	0.273	0.325	0.18	0.284	0.421	0.907
CAGL0H04191g	-0.9075	-0.7375	-0.9305	-0.3825	-0.434	-0.6895	-1.184	-1.1085	-0.7455	-1.296	-0.881	0.1305	0.221	0.183	-0.0555	-0.452	-0.5735
CAGL0H04213g	0.2175	0.111	0.0265	-0.4085	0.0315	-0.0495	0.4575	0.19	0.733	0.3695	0.345	0.128	0.2145	-0.0325	0.6385	0.23	0.066
CAGL0H04235g	0.232	0.0175	0.0055	-0.2105	-0.1885	-0.1115	-0.169	-0.568	-0.468	0.234	0.13	0.1655	0.179	0.102	-0.599	-0.59	-0.746
CAGL0H04257g	-1.7175	-1.5575	-1.269	0.138	-0.838	-0.2245	-0.7535	-0.879	-0.9315	-0.6355	-0.082	-1.126	-1.331	-1.09	-1.355	-1.098	-1.0675
CAGL0H04279g	-2.0615	-1.866	-1.108	-0.1495	-1.1865	-0.73	-0.943	-1.019	-1.473	-0.5645	0.0825	-1.432	-1.64	-1.4215	-1.6355	-1.42	-1.483
CAGL0H04301g	-0.3275	0.3655	-0.2825	0.241	0.232	0.148	-0.7475	0.014	-0.3465	-0.5175	0.1475	0.672	0.731	0.6375	0.3055	0.0305	-0.495
CAGL0H04323g	-0.1915	-0.121	-0.171	0.3475	0.5545	0.1675	-0.139	0.187	-0.174	0.1585	0.104	-0.3415	-0.47	NA	-0.245	0.3205	0.28
CAGL0H04345g	-0.181	0.43	0.0955	0.305	0.2795	0.2065	-0.1425	0.4175	-0.0405	-0.121	0.097	0.135	-0.045	0.0905	-0.3855	-0.369	-0.1685
CAGL0H04367g	0.233	0.0555	0.1515	0.251	0.433	0.147	-0.195	-0.394	-0.1505	-0.058	0.08	NA	0.661	0.586	-0.051	-0.29	-0.424
CAGL0H04389g	-0.4015	-0.3845	-0.3505	0.038	0.02	0.0335	-0.545	-0.688	-0.378	-0.1985	0.1205	-0.189	-0.3005	-0.122	-0.091	-0.3595	-0.097
CAGL0H04411g	0.046	0.1745	-0.426	-0.943	-0.5335	-0.7135	-0.213	0.183	-0.142	-0.447	-0.6865	-0.0405	-0.111	-0.165	-0.448	0.0525	-0.55
CAGL0H04455g	-0.194	-0.2545	-0.35	-0.474	-0.54	-0.686	0.0505	-0.485	0.1565	-0.6665	-0.5905	-0.502	-0.256	-0.3555	0.2395	-0.1795	0.1375
CAGL0H04477g	0.0865	0.288	0.1925	0.331	0.4595	0.284	0.1975	0.5865	0.33	0.117	-0.033	-0.019	-0.199	-0.1015	-0.101	0.081	0.105
CAGL0H04499g	0.0895	-0.0275	0.2525	0.3525	0.2735	0.1355	0.331	0.453	-0.046	1.1205	1.04	0.0355	-0.1425	0.191	-0.254	-0.3655	-0.343
CAGL0H04521g	0.1945	-0.004	0.1645	-0.683	-1.3345	-0.388	-0.006	-0.135	-0.2755	-0.2865	-0.607	-0.14	-0.1125	-0.114	-0.603	-0.6405	-0.54
CAGL0H04543g	-0.663	-0.84	-0.503	0.699	0.6245	0.521	-0.0385	-0.227	-0.284	1.115	1.0945	-0.378	-0.6805	-0.495	-0.5895	-0.675	-0.1095
CAGL0H04565g	0.125	0.1645	0.1395	-0.33	-0.5415	-0.5815	-0.44	-0.437	-0.2665	-0.734	-0.5885	0.45	0.358	0.2925	-0.192	-0.856	0.2125
CAGL0H04587g	-0.0365	0.0625	-0.2765	-0.847	-0.7525	-0.9335	-0.1885	-0.0205	0.135	-0.8755	-1.051	-0.68	-0.6245	-0.671	-0.1445	-0.184	0.1265
CAGL0H04609g	0.1605	0.265	-0.021	0.0095	0.326	0.072	-0.031	-0.0365	0.1615	-0.0755	0.0975	0.029	0.014	0.018	-0.081	-0.042	-0.29
