log2.YPGlu30.Ref._YPGlu30.C.1	log2.YPGlu30.Ref._YPGlu30.C.2	log2.YPGlu30.Ref._YPGlu30.C.3	log2.YPGluBPS30.Ref._YPGlu.BPS30.C.1	log2.YPGluBPS30.Ref._YPGlu.BPS30.C.2	log2.YPGluBPS30.Ref._YPGlu.BPS30.C.3	log2.YPGlu37.Ref._YPGlu37.C.1	log2.YPGlu37.Ref._YPGlu37.C.2	log2.YPGlu37.Ref._YPGlu37.C.3	log2.WT.Glu.BPS.37.Ref._WT.Glu.BPS.37.1	log2.WT.Glu.BPS.37.Ref._WT.Glu.BPS.37.2	log2.WT.Glu.Fe.30.Ref._WT.Glu.Fe.30.1	log2.WT.Glu.Fe.30.Ref._WT.Glu.Fe.30.2	log2.WT.Glu.Fe.30.Ref._WT.Glu.Fe.30.3	log2.WT.Glu.Fe.37.Ref._WT.Glu.Fe.37.Fe.1	log2.WT.Glu.Fe.37.Ref._WT.Glu.Fe.37.Fe.2	log2.WT.Glu.Fe.37.Ref._WT.Glu.Fe.37.Fe.3
CAGL0A01284g	-0.4595	-0.1995	-0.205	0.6005	0.9195	0.6915	-0.2745	-0.0025	0.2325	0.708	0.7115	-0.159	-0.204	-0.239	0.243	0.7565	0.474
CAGL0A01325g	-0.221	-0.2485	-0.304	0.184	0.095	0.2105	-0.443	-0.1315	0.069	0.043	0.152	0.4335	0.312	0.392	0.8115	0.8375	0.647
CAGL0A01366g	-0.3885	-0.212	-0.2695	0.7425	0.9865	0.8035	-0.29	-0.0795	0.225	0.7185	0.763	0.0185	-0.108	-0.135	0.4035	0.857	0.673
CAGL0A01408g	-0.112	-0.324	-0.3275	0.167	0.0755	0.255	-0.331	-0.4845	-0.068	-0.143	0.0155	0.465	0.329	0.3295	0.9095	0.722	0.702
CAGL0A01430g	-0.3575	-0.0945	-0.3085	-1.1525	-0.53	-1.1085	-0.381	-0.154	-0.3545	-0.416	-0.624	-0.0455	-0.053	-0.1345	-0.0075	0.134	-0.2495
CAGL0A01452g	0.1645	-0.0295	-0.385	-0.149	-0.346	-0.434	-0.319	-0.376	0.135	-0.16	-0.469	-0.042	0.000999999999999997	-0.118	0.525	0.904	1.1225
CAGL0A01474g	-0.9255	-0.648	-0.8645	-0.1465	-0.0305	-0.1065	-1.0035	-0.726	-0.3895	-0.6045	-0.3745	-0.907	-0.7575	-0.788	-0.387	-0.6595	-0.576
CAGL0A01540g	-0.215	0.0575	-0.205	-1.046	-1.3695	-0.627	-0.183	0.405	0.049	-0.554	-0.427	-0.132	-0.056	-0.025	-0.3945	-1.086	-0.644
CAGL0A01562g	0.602	0.119	0.495	-0.7715	-1.1845	-0.2715	0.6635	0.2265	0.333	0.3335	-0.149	0.203	0.221	0.0115	0.037	-0.544	-0.0635
CAGL0A01584g	-0.009	-0.123	-0.0795	0.016	0.159	0.0815	0.0405	-0.024	-0.01	-0.257	-0.004	0.237	0.027	0.0455	0.0375	0.1525	0.174
CAGL0A01606g	0.3285	-0.0635	0.371	1.276	1.211	0.429	-0.012	-0.427	-0.5895	0.1155	0.5155	0.692	0.618	0.694	0.2425	-0.3295	-0.035
CAGL0A01628g	0.0825	0.0475	0.3875	0.9915	0.986	0.7195	-0.3645	-0.4925	-0.587	0.348	0.3795	-0.2605	-0.1175	-0.158	-0.5745	-0.402	-0.4845
CAGL0A01650g	-1.175	-1.0365	-0.865	1.531	1.5275	1.2335	-1.132	-1.2675	-0.8935	1.1245	1.296	-0.656	-1.0185	-0.6625	-0.585	-0.426	-0.705
CAGL0A01672g	-0.067	-0.0955	0.072	0.116	0.2315	-0.067	-0.129	-0.1175	-0.3205	0.336	0.3255	-0.3005	-0.3115	-0.1845	-0.2585	-0.326	-0.2295
CAGL0A01694g	-0.1265	-0.1205	-0.0535	0.1225	0.3675	0.0355	0.289	0.164	0.4325	-0.007	-0.115	-0.112	-0.014	-0.046	0.077	0.1645	0.6385
CAGL0A01716g	-1.168	-1.1795	-0.6215	0.9525	1.2545	0.2325	-0.3105	0.0395	-0.367	-0.1515	0.064	-0.928	-1.177	-1.078	-0.6635	-0.4735	-0.522
CAGL0A01738g	-0.285	-0.2405	-0.072	-0.456	-0.2785	-0.495	0.0785	0.0835	0.2955	-0.2165	-5e-04	-0.142	-0.0505	-0.07	1.342	1.1335	1.383
