source	target
CAGL0A02211g	CAGL0A01650g
CAGL0A02233g	CAGL0A01650g
CAGL0A02299g	CAGL0A01650g
CAGL0A03476g	CAGL0A01650g
CAGL0B00814g	CAGL0A01650g
CAGL0B00946g	CAGL0A01650g
CAGL0B00990g	CAGL0A01650g
CAGL0B01727g	CAGL0A01650g
CAGL0B02838g	CAGL0A01650g
CAGL0B02860g	CAGL0A01650g
CAGL0B03619g	CAGL0A01650g
CAGL0B03817g	CAGL0A01650g
CAGL0C01771g	CAGL0A01650g
CAGL0C02365g	CAGL0A01650g
CAGL0C02739g	CAGL0A01650g
CAGL0C03113g	CAGL0A01650g
CAGL0C04191g	CAGL0A01650g
CAGL0D01298g	CAGL0A01650g
CAGL0D01474g	CAGL0A01650g
CAGL0D02134g	CAGL0A01650g
CAGL0D04026g	CAGL0A01650g
CAGL0D04686g	CAGL0A01650g
CAGL0D05082g	CAGL0A01650g
CAGL0D06402g	CAGL0A01650g
CAGL0D06600g	CAGL0A01650g
CAGL0E01243g	CAGL0A01650g
CAGL0E02651g	CAGL0A01650g
CAGL0E04510g	CAGL0A01650g
CAGL0E04548g	CAGL0A01650g
CAGL0E05148g	CAGL0A01650g
CAGL0E06072g	CAGL0A01650g
CAGL0F00715g	CAGL0A01650g
CAGL0F01485g	CAGL0A01650g
CAGL0F02101g	CAGL0A01650g
CAGL0F04807g	CAGL0A01650g
CAGL0F04895g	CAGL0A01650g
CAGL0F06677g	CAGL0A01650g
CAGL0F07029g	CAGL0A01650g
CAGL0F08085g	CAGL0A01650g
CAGL0G01122g	CAGL0A01650g
CAGL0G02563g	CAGL0A01650g
CAGL0G02849g	CAGL0A01650g
CAGL0G04763g	CAGL0A01650g
CAGL0H00704g	CAGL0A01650g
CAGL0H02387g	CAGL0A01650g
CAGL0H02585g	CAGL0A01650g
CAGL0H04851g	CAGL0A01650g
CAGL0H05445g	CAGL0A01650g
CAGL0H08541g	CAGL0A01650g
CAGL0H08844g	CAGL0A01650g
CAGL0H10010g	CAGL0A01650g
CAGL0I01100g	CAGL0A01650g
CAGL0I02024g	CAGL0A01650g
CAGL0I02530g	CAGL0A01650g
CAGL0I04328g	CAGL0A01650g
CAGL0I04994g	CAGL0A01650g
CAGL0I05610g	CAGL0A01650g
CAGL0I05874g	CAGL0A01650g
CAGL0I09086g	CAGL0A01650g
CAGL0I09702g	CAGL0A01650g
CAGL0J05082g	CAGL0A01650g
CAGL0J07568g	CAGL0A01650g
CAGL0J07980g	CAGL0A01650g
CAGL0K04301g	CAGL0A01650g
CAGL0K05813g	CAGL0A01650g
CAGL0K09702g	CAGL0A01650g
CAGL0K10736g	CAGL0A01650g
CAGL0K11858g	CAGL0A01650g
CAGL0K12254g	CAGL0A01650g
CAGL0L00473g	CAGL0A01650g
CAGL0L03135g	CAGL0A01650g
CAGL0L06578g	CAGL0A01650g
CAGL0L06864g	CAGL0A01650g
CAGL0L09108g	CAGL0A01650g
CAGL0L10582g	CAGL0A01650g
CAGL0M02211g	CAGL0A01650g
CAGL0M02915g	CAGL0A01650g
CAGL0M05401g	CAGL0A01650g
CAGL0M05511g	CAGL0A01650g
CAGL0M05665g	CAGL0A01650g
CAGL0M05951g	CAGL0A01650g
CAGL0M07403g	CAGL0A01650g
CAGL0A03102g	CAGL0A01716g
CAGL0B00814g	CAGL0A01716g
CAGL0B02860g	CAGL0A01716g
CAGL0B03421g	CAGL0A01716g
CAGL0C02365g	CAGL0A01716g
CAGL0C02739g	CAGL0A01716g
CAGL0C04587g	CAGL0A01716g
CAGL0D00704g	CAGL0A01716g
CAGL0D01298g	CAGL0A01716g
CAGL0D01474g	CAGL0A01716g
CAGL0E00803g	CAGL0A01716g
CAGL0E06380g	CAGL0A01716g
CAGL0F01463g	CAGL0A01716g
CAGL0F01485g	CAGL0A01716g
CAGL0F02101g	CAGL0A01716g
CAGL0F04719g	CAGL0A01716g
CAGL0G05962g	CAGL0A01716g
CAGL0G06468g	CAGL0A01716g
CAGL0H02893g	CAGL0A01716g
CAGL0H04037g	CAGL0A01716g
CAGL0H05445g	CAGL0A01716g
CAGL0I00550g	CAGL0A01716g
