id	group	colLow	colHigh	shape	size
CAGL0D01298g	F1	red	black	circle	3
CAGL0D01474g	Others	red	black	circle	3
CAGL0D01562g	F1	darkgreen	white	circle	3
CAGL0D01958g	F3	darkgreen	firebrick	square	9
CAGL0D02134g	F1	firebrick	firebrick	circle	9
CAGL0D02596g	F1	black	darkgreen	circle	3
CAGL0D02640g	F4	firebrick	darkgreen	square	9
CAGL0D02662g	F4	black	darkgreen	circle	3
CAGL0D03982g	F3	firebrick	red	circle	9
CAGL0D04026g	F1	red	black	circle	3
CAGL0D04356g	F3	black	red	circle	3
CAGL0D04686g	F2	firebrick	black	circle	3
CAGL0D04708g	F4	firebrick	white	circle	3
CAGL0D05060g	F1	chartreuse	black	circle	3
CAGL0D05082g	F1	red	firebrick	circle	9
CAGL0D05192g	F3	chartreuse	black	circle	3
CAGL0D05280g	F5	black	black	circle	3
CAGL0D05434g	Others	black	chartreuse	circle	3
CAGL0D05940g	F3	black	chartreuse	circle	3
CAGL0D06402g	F5	red	firebrick	circle	9
CAGL0D06424g	F1	chartreuse	red	square	9
CAGL0D06600g	F2	red	firebrick	circle	9
CAGL0E00737g	F2	black	firebrick	circle	3
CAGL0E00803g	Others	firebrick	black	circle	3
CAGL0E01155g	F1	black	darkgreen	circle	3
CAGL0E01243g	F2	red	black	circle	3
CAGL0E01287g	F5	darkgreen	firebrick	square	9
CAGL0E01705g	F3	black	red	circle	3
CAGL0E01727g	F1	firebrick	white	circle	3
CAGL0E01771g	F1	chartreuse	black	circle	3
CAGL0E01793g	F1	red	firebrick	circle	9
CAGL0E01815g	F1	firebrick	firebrick	circle	9
CAGL0E01837g	F1	black	red	circle	3
CAGL0E01881g	Others	black	red	circle	3
CAGL0E01991g	F2	darkgreen	darkgreen	circle	9
CAGL0E02013g	F1	chartreuse	darkgreen	circle	9
CAGL0E02255g	Others	chartreuse	chartreuse	circle	9
CAGL0E02651g	F1	firebrick	firebrick	circle	9
CAGL0E03025g	Others	firebrick	black	circle	3
CAGL0E03289g	F2	darkgreen	black	circle	3
CAGL0E03520g	F1	black	firebrick	circle	3
CAGL0E03850g	F3	chartreuse	firebrick	square	9
CAGL0E03916g	F1	black	red	circle	3
CAGL0E03938g	F1	chartreuse	darkgreen	circle	9
CAGL0E04092g	F4	red	darkgreen	square	9
CAGL0E04224g	Others	black	firebrick	circle	3
CAGL0E04334g	F3	darkgreen	chartreuse	circle	9
CAGL0E04510g	F1	red	black	circle	3
CAGL0E04548g	Others	red	firebrick	circle	9
CAGL0E04554g	Others	firebrick	red	circle	9
CAGL0E04884g	F2	black	red	circle	3
CAGL0E04994g	F1	darkgreen	black	circle	3
CAGL0E05148g	F1	red	black	circle	3
CAGL0E05170g	F3	firebrick	red	circle	9
CAGL0E05346g	F4	firebrick	firebrick	circle	9
CAGL0E05456g	F2	firebrick	firebrick	circle	9
CAGL0E05500g	F1	chartreuse	black	circle	3
CAGL0E05588g	Others	red	darkgreen	square	9
CAGL0E05654g	F1	firebrick	red	circle	9
CAGL0E05830g	F2	black	firebrick	circle	3
CAGL0E06072g	Others	red	black	circle	3
CAGL0E06116g	F2	firebrick	darkgreen	square	9
CAGL0E06138g	F3	black	darkgreen	circle	3
CAGL0E06380g	F1	firebrick	black	circle	3
CAGL0E06424g	F3	firebrick	red	circle	9
CAGL0F00187g	F4	red	chartreuse	square	9
CAGL0F00209g	F4	black	red	circle	3
CAGL0F00231g	F4	darkgreen	firebrick	square	9
CAGL0F00407g	F3	chartreuse	darkgreen	circle	9
CAGL0F00429g	F1	black	darkgreen	circle	3
CAGL0F00605g	F2	firebrick	firebrick	circle	9
CAGL0F00649g	F1	black	darkgreen	circle	3
CAGL0F00715g	F1	red	black	circle	3
CAGL0F01045g	F2	chartreuse	darkgreen	circle	9
CAGL0F01265g	F2	black	chartreuse	circle	3
CAGL0F01419g	F4	red	chartreuse	square	9
CAGL0F01463g	Others	firebrick	darkgreen	square	9
CAGL0F01485g	Others	red	black	circle	3
CAGL0F01749g	F1	firebrick	black	circle	3
CAGL0F02101g	F2	firebrick	black	circle	3
CAGL0F02145g	Others	black	firebrick	circle	3
CAGL0F02233g	F1	chartreuse	black	circle	3
CAGL0F02431g	F1	chartreuse	black	circle	3
CAGL0F02513g	F4	black	firebrick	circle	3
CAGL0F02563g	F1	chartreuse	darkgreen	circle	9
CAGL0F03399g	F3	darkgreen	firebrick	square	9
CAGL0F03553g	F2	black	darkgreen	circle	3
CAGL0F03861g	F5	black	chartreuse	circle	3
CAGL0F03927g	F1	chartreuse	darkgreen	circle	9
CAGL0F03993g	F5	black	chartreuse	circle	3
CAGL0F04191g	Others	firebrick	firebrick	circle	9
CAGL0F04213g	F3	darkgreen	firebrick	square	9
CAGL0F04411g	F1	black	firebrick	circle	3
CAGL0F04565g	F3	chartreuse	firebrick	square	9
CAGL0F04631g	Others	red	black	circle	3
CAGL0F04719g	F3	firebrick	black	circle	3
CAGL0F04807g	Others	red	black	circle	3
CAGL0F04895g	F3	firebrick	black	circle	3
CAGL0F04917g	F1	darkgreen	darkgreen	circle	9
CAGL0F05071g	F3	black	firebrick	circle	3
CAGL0F05093g	Others	black	red	circle	3
CAGL0F05687g	F4	red	darkgreen	square	9
CAGL0F05709g	Others	darkgreen	firebrick	square	9
CAGL0F05863g	F3	chartreuse	firebrick	square	9
CAGL0F06413g	F3	red	chartreuse	square	9
CAGL0F06501g	F1	black	firebrick	circle	3
CAGL0F06677g	F2	red	black	circle	3
CAGL0F07029g	F5	red	black	circle	3
CAGL0F07117g	F2	red	red	circle	9
CAGL0F07513g	F3	black	firebrick	circle	3
CAGL0F07865g	F2	red	darkgreen	square	9
CAGL0F07953g	Others	red	black	circle	3
CAGL0F08019g	F4	black	firebrick	circle	3
CAGL0F08085g	F4	red	black	circle	3
CAGL0F08195g	F2	black	white	circle	3
CAGL0F08217g	Others	firebrick	firebrick	circle	9
CAGL0F08261g	F1	red	black	circle	3
CAGL0F08745g	F3	red	firebrick	circle	9
CAGL0G01122g	Others	red	firebrick	circle	9
CAGL0G01166g	F4	darkgreen	darkgreen	circle	9
CAGL0G01540g	F3	firebrick	black	circle	3
CAGL0G01826g	F1	chartreuse	darkgreen	circle	9
CAGL0G02255g	F2	red	black	circle	3
CAGL0G02409g	F4	darkgreen	darkgreen	circle	9
CAGL0G02563g	F1	red	black	circle	3
CAGL0G02585g	F3	darkgreen	darkgreen	circle	9
CAGL0G02849g	Others	red	firebrick	circle	9
CAGL0G02937g	F1	red	black	circle	3
CAGL0G03289g	Others	red	firebrick	circle	9
CAGL0G03575g	F1	black	darkgreen	circle	3
CAGL0G03883g	F1	firebrick	firebrick	circle	9
CAGL0G03905g	F5	chartreuse	black	circle	3
CAGL0G04433g	Others	firebrick	black	circle	3
CAGL0G04499g	F2	black	darkgreen	circle	3
CAGL0G04763g	F2	firebrick	black	circle	3
CAGL0G05566g	Others	darkgreen	black	circle	3
CAGL0G05698g	F3	firebrick	firebrick	circle	9
CAGL0G05764g	F2	black	firebrick	circle	3
CAGL0G05830g	Others	firebrick	firebrick	circle	9
CAGL0G05874g	F1	black	darkgreen	circle	3
CAGL0G05962g	Others	firebrick	black	circle	3
CAGL0G06006g	Others	red	black	circle	3
CAGL0G06050g	Others	black	red	circle	3
CAGL0G06248g	F1	chartreuse	darkgreen	circle	9
CAGL0G06402g	F3	chartreuse	black	circle	3
CAGL0G06468g	F4	black	darkgreen	circle	3
CAGL0G06490g	F1	chartreuse	darkgreen	circle	9
CAGL0G06732g	F1	firebrick	firebrick	circle	9
CAGL0G06798g	Others	red	black	circle	3
CAGL0G06952g	Others	black	firebrick	circle	3
CAGL0G07106g	F1	chartreuse	darkgreen	circle	9
CAGL0G07711g	Others	black	firebrick	circle	3
CAGL0G07821g	F1	black	firebrick	circle	3
CAGL0G08019g	F4	firebrick	firebrick	circle	9
CAGL0G08041g	F2	chartreuse	black	circle	3
CAGL0G08712g	F3	black	red	circle	3
CAGL0G08734g	F1	darkgreen	darkgreen	circle	9
CAGL0G09064g	F1	red	red	circle	9
CAGL0G09130g	F1	chartreuse	chartreuse	circle	9
CAGL0G09383g	F3	black	firebrick	circle	3
CAGL0G09691g	F1	black	firebrick	circle	3
CAGL0G09977g	F3	firebrick	firebrick	circle	9
CAGL0G10131g	F3	chartreuse	black	circle	3
CAGL0G10153g	F3	chartreuse	black	circle	3
CAGL0G10175g	Others	red	darkgreen	square	9
CAGL0H00418g	F1	firebrick	firebrick	circle	9
CAGL0H00440g	F4	black	chartreuse	circle	3
CAGL0H00506g	F4	black	firebrick	circle	3
CAGL0H00572g	Others	black	darkgreen	circle	3
CAGL0H00594g	Others	black	darkgreen	circle	3
CAGL0H00682g	F1	firebrick	firebrick	circle	9
CAGL0H00704g	F1	red	black	circle	3
CAGL0H00825g	Others	firebrick	black	circle	3
CAGL0H02101g	F1	red	firebrick	circle	9
CAGL0H02387g	F1	firebrick	black	circle	3
CAGL0H02491g	F3	chartreuse	firebrick	square	9
CAGL0H02563g	Others	black	black	circle	3
CAGL0H02585g	F1	red	black	circle	3
CAGL0H02893g	Others	firebrick	black	circle	3
CAGL0H02959g	F2	black	darkgreen	circle	3
CAGL0H03179g	F2	black	firebrick	circle	3
CAGL0H03487g	F2	red	darkgreen	square	9
CAGL0H03751g	F2	black	darkgreen	circle	3
CAGL0H03795g	F3	firebrick	black	circle	3
CAGL0H03993g	F1	chartreuse	firebrick	square	9
CAGL0H04037g	F3	firebrick	black	circle	3
CAGL0H04081g	F1	black	chartreuse	circle	3
CAGL0H04125g	F3	firebrick	firebrick	circle	9
CAGL0H04191g	F4	black	firebrick	circle	3
CAGL0H04851g	F1	red	black	circle	3
CAGL0H04939g	F3	black	red	circle	3
CAGL0H05137g	F3	black	darkgreen	circle	3
CAGL0H05445g	F1	firebrick	black	circle	3
CAGL0H05643g	F1	darkgreen	black	circle	3
CAGL0H06545g	F1	red	black	circle	3
CAGL0H06699g	F3	black	firebrick	circle	3
CAGL0H06787g	F3	black	red	circle	3
CAGL0H07051g	F1	black	darkgreen	circle	3
CAGL0H07337g	Others	black	chartreuse	circle	3
CAGL0H07579g	F2	chartreuse	black	circle	3
CAGL0H07887g	F1	black	firebrick	circle	3
CAGL0H08063g	F3	black	firebrick	circle	3
CAGL0H08261g	F1	firebrick	firebrick	circle	9
CAGL0H08541g	F2	firebrick	black	circle	3
CAGL0H08624g	Others	black	firebrick	circle	3
CAGL0H08822g	F4	darkgreen	black	circle	3
CAGL0H08844g	Others	red	black	circle	3
CAGL0H09064g	F1	darkgreen	black	circle	3
CAGL0H09460g	F1	black	red	circle	3
CAGL0H09592g	Others	red	chartreuse	square	9
CAGL0H09614g	Others	red	chartreuse	square	9
CAGL0H09944g	F3	firebrick	darkgreen	square	9
CAGL0H09966g	Others	red	darkgreen	square	9
CAGL0H10010g	Others	red	black	circle	3
CAGL0H10076g	F4	darkgreen	white	circle	3
CAGL0H10142g	F1	chartreuse	black	circle	3
CAGL0I00286g	F4	firebrick	darkgreen	square	9
CAGL0I00462g	F4	black	red	circle	3
CAGL0I00528g	F1	firebrick	black	circle	3
CAGL0I00550g	Others	firebrick	black	circle	3
CAGL0I00748g	F3	chartreuse	black	circle	3
CAGL0I00792g	F1	chartreuse	darkgreen	circle	9
CAGL0I00814g	F2	black	darkgreen	circle	3
CAGL0I01100g	F3	red	black	circle	3
CAGL0I01166g	F3	firebrick	darkgreen	square	9
CAGL0I01276g	F5	firebrick	firebrick	circle	9
CAGL0I01298g	F1	chartreuse	black	circle	3
CAGL0I01408g	F3	chartreuse	darkgreen	circle	9
CAGL0I01980g	F4	black	firebrick	circle	3
CAGL0I02024g	F3	firebrick	black	circle	3
