"";"Name";"Conditions";"logFC";"hovertext"
"170";"CAGL0F00407g";"T10";"-0.0579875875120032";"CAGL0F00407g - -0.0579875875120032"
"171";"CAGL0F00429g";"T10";"-2.02241370778063";"CAGL0F00429g - -2.02241370778063"
"172";"CAGL0F00605g";"T10";"0.451124741015816";"CAGL0F00605g - 0.451124741015816"
"173";"CAGL0F00649g";"T10";NA;"CAGL0F00649g - NA"
"174";"CAGL0F00715g";"T10";"-2.32618483955941";"CAGL0F00715g - -2.32618483955941"
"175";"CAGL0F01045g";"T10";"-0.21813300633751";"CAGL0F01045g - -0.21813300633751"
"176";"CAGL0F01265g";"T10";NA;"CAGL0F01265g - NA"
"177";"CAGL0F01419g";"T10";NA;"CAGL0F01419g - NA"
"178";"CAGL0F01463g";"T10";"0.30675554627162";"CAGL0F01463g - 0.30675554627162"
"179";"CAGL0F01485g";"T10";NA;"CAGL0F01485g - NA"
"180";"CAGL0F01749g";"T10";"-0.311437313466055";"CAGL0F01749g - -0.311437313466055"
"181";"CAGL0F02101g";"T10";NA;"CAGL0F02101g - NA"
"182";"CAGL0F02145g";"T10";NA;"CAGL0F02145g - NA"
"183";"CAGL0F02233g";"T10";"1.53341296025048";"CAGL0F02233g - 1.53341296025048"
"184";"CAGL0F02431g";"T10";"-0.608755838097195";"CAGL0F02431g - -0.608755838097195"
"185";"CAGL0F02513g";"T10";NA;"CAGL0F02513g - NA"
"186";"CAGL0F02563g";"T10";"0.658694182256588";"CAGL0F02563g - 0.658694182256588"
"187";"CAGL0F03399g";"T10";"-0.0814003791998175";"CAGL0F03399g - -0.0814003791998175"
"188";"CAGL0F03553g";"T10";"0.879446057675298";"CAGL0F03553g - 0.879446057675298"
"189";"CAGL0F03861g";"T10";"-0.3361968368437";"CAGL0F03861g - -0.3361968368437"
"190";"CAGL0F03927g";"T10";"-0.332074932544724";"CAGL0F03927g - -0.332074932544724"
"191";"CAGL0F03993g";"T10";"-0.100522823940903";"CAGL0F03993g - -0.100522823940903"
"192";"CAGL0F04191g";"T10";NA;"CAGL0F04191g - NA"
"193";"CAGL0F04213g";"T10";"0.138470227138723";"CAGL0F04213g - 0.138470227138723"
"194";"CAGL0F04411g";"T10";NA;"CAGL0F04411g - NA"
"195";"CAGL0F04565g";"T10";"-1.12666070895405";"CAGL0F04565g - -1.12666070895405"
"196";"CAGL0F04631g";"T10";NA;"CAGL0F04631g - NA"
"197";"CAGL0F04719g";"T10";"0.0582916744128222";"CAGL0F04719g - 0.0582916744128222"
"198";"CAGL0F04807g";"T10";"-0.293464485763765";"CAGL0F04807g - -0.293464485763765"
"199";"CAGL0F04895g";"T10";"0.644105529277181";"CAGL0F04895g - 0.644105529277181"
"200";"CAGL0F04917g";"T10";NA;"CAGL0F04917g - NA"
"201";"CAGL0F05071g";"T10";NA;"CAGL0F05071g - NA"
"202";"CAGL0F05093g";"T10";NA;"CAGL0F05093g - NA"
"203";"CAGL0F05687g";"T10";NA;"CAGL0F05687g - NA"
"204";"CAGL0F05709g";"T10";NA;"CAGL0F05709g - NA"
"205";"CAGL0F05863g";"T10";"0.968667468221864";"CAGL0F05863g - 0.968667468221864"
"206";"CAGL0F06413g";"T10";NA;"CAGL0F06413g - NA"
"207";"CAGL0F06501g";"T10";"-0.0213926156955497";"CAGL0F06501g - -0.0213926156955497"
"208";"CAGL0F06677g";"T10";NA;"CAGL0F06677g - NA"
"209";"CAGL0F07029g";"T10";"-0.551035451290373";"CAGL0F07029g - -0.551035451290373"
"210";"CAGL0F07117g";"T10";NA;"CAGL0F07117g - NA"
"211";"CAGL0F07513g";"T10";NA;"CAGL0F07513g - NA"
"212";"CAGL0F07865g";"T10";NA;"CAGL0F07865g - NA"
"213";"CAGL0F07953g";"T10";NA;"CAGL0F07953g - NA"
"214";"CAGL0F08019g";"T10";NA;"CAGL0F08019g - NA"
"215";"CAGL0F08085g";"T10";NA;"CAGL0F08085g - NA"
"216";"CAGL0F08195g";"T10";NA;"CAGL0F08195g - NA"
"217";"CAGL0F08217g";"T10";NA;"CAGL0F08217g - NA"
"218";"CAGL0F08261g";"T10";"0.160629121513643";"CAGL0F08261g - 0.160629121513643"
"219";"CAGL0F08745g";"T10";NA;"CAGL0F08745g - NA"
"220";"CAGL0G01122g";"T10";NA;"CAGL0G01122g - NA"
"221";"CAGL0G01166g";"T10";"0.466068323297713";"CAGL0G01166g - 0.466068323297713"
"222";"CAGL0G01540g";"T10";"-0.195077768468596";"CAGL0G01540g - -0.195077768468596"
"223";"CAGL0G01826g";"T10";"0.546921295266396";"CAGL0G01826g - 0.546921295266396"
"224";"CAGL0G02255g";"T10";NA;"CAGL0G02255g - NA"
"225";"CAGL0G02409g";"T10";"-1.68607830443611";"CAGL0G02409g - -1.68607830443611"
"226";"CAGL0G02563g";"T10";NA;"CAGL0G02563g - NA"
"227";"CAGL0G02585g";"T10";"-0.154093421888314";"CAGL0G02585g - -0.154093421888314"
"228";"CAGL0G02849g";"T10";"0.219922647433467";"CAGL0G02849g - 0.219922647433467"
"229";"CAGL0G02937g";"T10";NA;"CAGL0G02937g - NA"
"230";"CAGL0G03289g";"T10";"0.462058125651677";"CAGL0G03289g - 0.462058125651677"
"231";"CAGL0G03575g";"T10";"-0.331594208886721";"CAGL0G03575g - -0.331594208886721"
"232";"CAGL0G03883g";"T10";"0.915072308608571";"CAGL0G03883g - 0.915072308608571"
"233";"CAGL0G03905g";"T10";NA;"CAGL0G03905g - NA"
"234";"CAGL0G04433g";"T10";NA;"CAGL0G04433g - NA"
"235";"CAGL0G04499g";"T10";NA;"CAGL0G04499g - NA"
"236";"CAGL0G04763g";"T10";NA;"CAGL0G04763g - NA"
"237";"CAGL0G05566g";"T10";"-0.195995494394668";"CAGL0G05566g - -0.195995494394668"
"238";"CAGL0G05698g";"T10";NA;"CAGL0G05698g - NA"
"239";"CAGL0G05764g";"T10";NA;"CAGL0G05764g - NA"
"240";"CAGL0G05830g";"T10";NA;"CAGL0G05830g - NA"
"241";"CAGL0G05874g";"T10";"-1.842870184871";"CAGL0G05874g - -1.842870184871"
"242";"CAGL0G05962g";"T10";NA;"CAGL0G05962g - NA"
"243";"CAGL0G06006g";"T10";NA;"CAGL0G06006g - NA"
"244";"CAGL0G06050g";"T10";NA;"CAGL0G06050g - NA"
"245";"CAGL0G06248g";"T10";"0.711556864690675";"CAGL0G06248g - 0.711556864690675"
"246";"CAGL0G06402g";"T10";"-0.926221642655945";"CAGL0G06402g - -0.926221642655945"
"247";"CAGL0G06468g";"T10";NA;"CAGL0G06468g - NA"
"248";"CAGL0G06490g";"T10";"-0.0881433203955469";"CAGL0G06490g - -0.0881433203955469"
"249";"CAGL0G06732g";"T10";"0.316159897022487";"CAGL0G06732g - 0.316159897022487"
"250";"CAGL0G06798g";"T10";"0.13262754227725";"CAGL0G06798g - 0.13262754227725"
"251";"CAGL0G06952g";"T10";NA;"CAGL0G06952g - NA"
"252";"CAGL0G07106g";"T10";"-0.391359938003918";"CAGL0G07106g - -0.391359938003918"
"253";"CAGL0G07711g";"T10";"-0.448620699415622";"CAGL0G07711g - -0.448620699415622"
"254";"CAGL0G07821g";"T10";NA;"CAGL0G07821g - NA"
"255";"CAGL0G08019g";"T10";NA;"CAGL0G08019g - NA"
"256";"CAGL0G08041g";"T10";"-0.356512897813193";"CAGL0G08041g - -0.356512897813193"
"257";"CAGL0G08712g";"T10";"-0.819515724768813";"CAGL0G08712g - -0.819515724768813"
"258";"CAGL0G08734g";"T10";"1.54549502022382";"CAGL0G08734g - 1.54549502022382"
"259";"CAGL0G09064g";"T10";NA;"CAGL0G09064g - NA"
"260";"CAGL0G09130g";"T10";"0.133303312523423";"CAGL0G09130g - 0.133303312523423"
"261";"CAGL0G09383g";"T10";"-0.642535304719945";"CAGL0G09383g - -0.642535304719945"
"262";"CAGL0G09691g";"T10";"-0.213222044982262";"CAGL0G09691g - -0.213222044982262"
"263";"CAGL0G09977g";"T10";NA;"CAGL0G09977g - NA"
"264";"CAGL0G10131g";"T10";"-0.0519049649726835";"CAGL0G10131g - -0.0519049649726835"
"265";"CAGL0G10153g";"T10";"0.164427136378458";"CAGL0G10153g - 0.164427136378458"
"266";"CAGL0G10175g";"T10";NA;"CAGL0G10175g - NA"
"267";"CAGL0H00418g";"T10";"0.888440451117834";"CAGL0H00418g - 0.888440451117834"
"268";"CAGL0H00440g";"T10";NA;"CAGL0H00440g - NA"
"269";"CAGL0H00506g";"T10";"0.133175687198575";"CAGL0H00506g - 0.133175687198575"
"270";"CAGL0H00572g";"T10";NA;"CAGL0H00572g - NA"
"271";"CAGL0H00594g";"T10";NA;"CAGL0H00594g - NA"
